,grape_name,acidity,alcohol_percentage,body,sweetness,tannins,dominant_flavors,food_pairings
0,agiorgitiko,medium acidity,11.5–13.5% ABV,medium-full body,bone-dry,medium-high tannins,"['raspberry', ' blackberry', ' plum sauce', ' black pepper', ' nutmeg']","[['subtle', 'flavor'], ['nutmeg'], ['cinnamon'], ['pair'], ['roasted', 'meat'], ['tomato'], ['sauce'], ['spiced', 'cuisine', 'middle', 'east'], ['india']]"
1,aglianico,medium-high acidity,13.5–15% ABV,full body,bone-dry,high tannins,"['white pepper', ' black cherry', ' smoke', ' game', ' spiced plum']","[['savory', 'wine'], ['well', 'gamey', 'dish'], ['texasstyle', 'barbecue'], ['course'], ['wellaged', 'sipped', 'fine', 'islay'], ['scotch']]"
2,,,,,,,,
3,,,,,,,,
4,alicante bouschet,medium acidity,13.5–15% ABV,full body,dry,medium-high tannins,"['black cherry', ' blackberry bramble', ' black plum', ' black pepper', ' sweet tobacco']","[['intense', 'smokysweet'], ['flavor'], ['alicante'], ['bouschet'], ['beg'], ['food'], ['barbecue'], ['teriyaki'], ['carne'], ['asada'], ['grilled', 'vegetable']]"
5,,,,,,,,
6,arinto,high acidity,11.5–13.5% ABV,medium-light body,bone-dry,none tannins,"['lemon zest', ' grapefruit', ' hazelnut', ' beeswax', ' chamomile']","[['excellent'], ['seafood'], ['portugal', 'famous', 'bacalhau'], ['salt'], ['cod'], ['due', 'high', 'acidity'], ['lemonzest'], ['like', 'flavor']]"
7,arneis,medium-low acidity,11.5–13.5% ABV,medium-light body,bone-dry,none tannins,"['peach', ' yellow apple', ' honey', ' raw almond', ' nutmeg']","[['dish', 'creamy'], ['turkey', 'fish', 'great', 'complement'], ['fresh', 'herb'], ['like', 'tarragon']]"
8,assyrtiko,high acidity,13.5–15% ABV,light body,bone-dry,none tannins,"['lime', ' passion fruit', ' beeswax', ' flint', ' saline']","[['perfect', 'shellfish', 'course'], ['greece'], ['classic', 'tomatofeta'], ['salad'], ['wine'], ['versatile', 'wide', 'range'], ['cuisine']]"
9,baga,high acidity,11.5–13.5% ABV,medium-full body,dry,high tannins,"['blackberry', ' black currant', ' dried cherry', ' cocoa', ' tar']","[['rich', 'red', 'deserves'], ['spiced', 'roasted', 'meat'], ['complement'], ['robust'], ['tarlike', 'flavor']]"
10,barbera,high acidity,13.5–15% ABV,medium-full body,bone-dry,low tannins,"['tart cherry', ' licorice', ' blackberry', ' dried herbs', ' black pepper']","[['food'], ['wine'], ['work'], ['mediumintensity', 'dish'], ['pop'], ['cherry', 'sage'], ['anise'], ['cinnamon'], ['white', 'pepper'], ['andor'], ['sumac']]"
11,,,,,,,,
12,,,,,,,,
13,bobal,medium-high acidity,11.5–13.5% ABV,medium body,dry,medium tannins,"['blackberry', ' pomegranate', ' licorice', ' black tea', ' cocoa powder']","[['bring'], ['fruity'], ['flavor'], ['actual', 'fruit'], ['dish'], ['need', 'inspiration'], ['orange'], ['chicken', 'roast']]"
14,bonarda,medium acidity,11.5–13.5% ABV,medium-full body,bone-dry,medium-high tannins,"['plum sauce', ' cherry', ' cardamom', ' fig paste', ' graphite']","[['popular', 'choice', 'argentina'], ['locally', 'inspired', 'fare'], ['mole', 'sauce'], ['curried', 'potato'], ['taco', 'al', 'pastor']]"
15,brachetto,medium acidity,Under 10% ABV,medium-light body,sweet,none tannins,"['candied strawberry', ' orange zest', ' black currant', ' apricot', ' cream']","[['perfect', 'match'], ['rich', 'creamy', 'chocolate'], ['dessert'], ['like', 'ganache'], ['mousse'], ['fun'], ['aqui'], ['berry', 'tart'], ['strawberry'], ['ice'], ['cream']]"
